crawl data,clean data,insert data to database,build dataset,train AI models,validate  AI models
20.446524381637573,22.92575905557712,3.3384218215942383,26.434431314468384,128.76666666666668,70.22333333333333
19.309582948684692,22.442676645674496,0.9968750476837158,30.813477993011475,122.33333333333333,87.77333333333333
21.03595995903015,22.291267951501712,1.002366065979004,35.035311222076416,122.68333333333334,69.22333333333333
18.730184078216553,22.134424804767946,0.9863619804382324,37.679375648498535,141.25,73.99
19.945733785629272,23.05673868253855,2.321755886077881,42.76949954032898,122.45,70.22333333333333
21.203872442245483,22.930342294435253,0.9754092693328857,31.74656629562378,130.45,70.95666666666666
22.200939893722534,22.94331763241038,1.0004017353057861,57.10055589675903,137.16666666666666,74.85666666666665
21.81176233291626,21.447932199478085,0.9980387687683105,74.88900375366211,144.75,77.27333333333333
19.51042914390564,21.93752804347406,2.625812530517578,44.70961308479309,125.9,76.77333333333333
19.90552258491516,22.224158013513847,2.5139753818511963,42.49851894378662,156.56666666666666,71.12333333333332
19.29928708076477,23.091197450354564,0.9955325126647949,44.05719041824341,120.91666666666667,75.97333333333333
19.320963382720947,22.64514008999326,0.9877872467041016,56.530112504959106,122.23333333333333,68.42333333333333
22.25511074066162,22.401694308989953,1.008702039718628,33.18956208229065,147.41666666666666,72.19
19.068482637405396,22.22825244305139,1.0093529224395752,17.606998205184937,117.51666666666667,76.00666666666666
18.251456022262573,22.79893237239106,0.9960439205169678,33.85613512992859,146.36666666666667,74.03999999999999
19.077999591827393,22.54217427184404,1.0030779838562012,40.358200550079346,151.06666666666666,92.28999999999999
18.684263706207275,22.369473116139112,1.0019261837005615,24.125229358673096,137.61666666666667,72.57333333333332
20.176045894622803,23.046375621594507,2.0122926235198975,39.005478620529175,147.43333333333334,72.67333333333333
19.209073066711426,22.199750761018613,1.0118708610534668,30.982686519622803,138.35,74.90666666666667
18.674906969070435,21.466213810687073,0.9986617565155029,29.403160572052002,124.5,71.99
18.602161645889282,21.53907721542572,1.0132551193237305,27.88569927215576,145.26666666666668,73.37333333333332
22.653037548065186,21.748960220907147,0.9798007011413574,26.481693267822266,146.25,74.55666666666666
